URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/197648,alexander.bernhuber@europarl.europa.eu,Alexander,BERNHUBER
https://www.europarl.europa.eu/meps/en/256841,helmut.brandstaetter@europarl.europa.eu,Helmut,BRANDSTÄTTER
https://www.europarl.europa.eu/meps/en/256834,elisabeth.dieringer@europarl.europa.eu,Elisabeth,DIERINGER
https://www.europarl.europa.eu/meps/en/256830,elisabeth.grossmann@europarl.europa.eu,Elisabeth,GROSSMANN
https://www.europarl.europa.eu/meps/en/198176,roman.haider@europarl.europa.eu,Roman,HAIDER
https://www.europarl.europa.eu/meps/en/256842,gerald.hauser@europarl.europa.eu,Gerald,HAUSER
https://www.europarl.europa.eu/meps/en/197682,hannes.heide@europarl.europa.eu,Hannes,HEIDE
https://www.europarl.europa.eu/meps/en/256831,sophia.kircher@europarl.europa.eu,Sophia,KIRCHER
https://www.europarl.europa.eu/meps/en/220896,reinhold.lopatka@europarl.europa.eu,Reinhold,LOPATKA
https://www.europarl.europa.eu/meps/en/190713,lukas.mandl@europarl.europa.eu,Lukas,MANDL
https://www.europarl.europa.eu/meps/en/38511,georg.mayer@europarl.europa.eu,Georg,MAYER
https://www.europarl.europa.eu/meps/en/96998,evelyn.regner@europarl.europa.eu,Evelyn,REGNER
https://www.europarl.europa.eu/meps/en/197670,andreas.schieder@europarl.europa.eu,Andreas,SCHIEDER
https://www.europarl.europa.eu/meps/en/256833,lena.schilling@europarl.europa.eu,Lena,SCHILLING
https://www.europarl.europa.eu/meps/en/197677,guenther.sidl@europarl.europa.eu,Günther,SIDL
https://www.europarl.europa.eu/meps/en/220897,petra.steger@europarl.europa.eu,Petra,STEGER
https://www.europarl.europa.eu/meps/en/256839,anna.sturgkh@europarl.europa.eu,Anna,STÜRGKH
https://www.europarl.europa.eu/meps/en/125001,harald.vilimsky@europarl.europa.eu,Harald,VILIMSKY
https://www.europarl.europa.eu/meps/en/190464,thomas.waitz@europarl.europa.eu,Thomas,WAITZ
https://www.europarl.europa.eu/meps/en/197652,angelika.winzig@europarl.europa.eu,Angelika,WINZIG
