URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/124973,gerolf.annemans@europarl.europa.eu,Gerolf,ANNEMANS
https://www.europarl.europa.eu/meps/en/24922,pascal.arimont@europarl.europa.eu,Pascal,ARIMONT
https://www.europarl.europa.eu/meps/en/256887,wouter.beke@europarl.europa.eu,Wouter,BEKE
https://www.europarl.europa.eu/meps/en/256881,barbara.bonte@europarl.europa.eu,Barbara,BONTE
https://www.europarl.europa.eu/meps/en/187917,marcjohan.botenga@europarl.europa.eu,Marc,BOTENGA
https://www.europarl.europa.eu/meps/en/197470,saskia.bricmont@europarl.europa.eu,Saskia,BRICMONT
https://www.europarl.europa.eu/meps/en/256891,benoit.cassart@europarl.europa.eu,Benoit,CASSART
https://www.europarl.europa.eu/meps/en/256880,estelle.ceulemans@europarl.europa.eu,Estelle,CEULEMANS
https://www.europarl.europa.eu/meps/en/197463,olivier.chastel@europarl.europa.eu,Olivier,CHASTEL
https://www.europarl.europa.eu/meps/en/1294,elio.dirupo@europarl.europa.eu,Elio,DI RUPO
https://www.europarl.europa.eu/meps/en/197469,assita.kanko@europarl.europa.eu,Assita,KANKO
https://www.europarl.europa.eu/meps/en/256890,rudi.kennes@europarl.europa.eu,Rudi,KENNES
https://www.europarl.europa.eu/meps/en/208722,sara.matthieu@europarl.europa.eu,Sara,MATTHIEU
https://www.europarl.europa.eu/meps/en/256889,liesbet.sommen@europarl.europa.eu,Liesbet,SOMMEN
https://www.europarl.europa.eu/meps/en/256885,bruno.tobback@europarl.europa.eu,Bruno,TOBBACK
https://www.europarl.europa.eu/meps/en/5729,kathleen.vanbrempt@europarl.europa.eu,Kathleen,VAN BREMPT
https://www.europarl.europa.eu/meps/en/185771,tom.vandendriessche@europarl.europa.eu,Tom,VANDENDRIESSCHE
https://www.europarl.europa.eu/meps/en/256884,kris.vandijck@europarl.europa.eu,Kris,VAN DIJCK
https://www.europarl.europa.eu/meps/en/125106,johan.vanovertveldt@europarl.europa.eu,Johan,VAN OVERTVELDT
https://www.europarl.europa.eu/meps/en/130100,hilde.vautmans@europarl.europa.eu,Hilde,VAUTMANS
https://www.europarl.europa.eu/meps/en/256879,yvan.verougstraete@europarl.europa.eu,Yvan,VEROUGSTRAETE
https://www.europarl.europa.eu/meps/en/220801,sophie.wilmes@europarl.europa.eu,Sophie,WILMÈS
