URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/257256,taner.kabilov@europarl.europa.eu,Taner,KABILOV
https://www.europarl.europa.eu/meps/en/197839,radan.kanev@europarl.europa.eu,Radan,KANEV
https://www.europarl.europa.eu/meps/en/97968,andrey.kovatchev@europarl.europa.eu,Andrey,KOVATCHEV
https://www.europarl.europa.eu/meps/en/124866,ilhan.kyuchyuk@europarl.europa.eu,Ilhan,KYUCHYUK
https://www.europarl.europa.eu/meps/en/257262,rada.laykova@europarl.europa.eu,Rada,LAYKOVA
https://www.europarl.europa.eu/meps/en/257261,ilia.lazarov@europarl.europa.eu,Ilia,LAZAROV
https://www.europarl.europa.eu/meps/en/98341,eva.maydell@europarl.europa.eu,Eva,MAYDELL
https://www.europarl.europa.eu/meps/en/257259,nikola.minchev@europarl.europa.eu,Nikola,MINCHEV
https://www.europarl.europa.eu/meps/en/107212,andrey.novakov@europarl.europa.eu,Andrey,NOVAKOV
https://www.europarl.europa.eu/meps/en/197845,tsvetelina.penkova@europarl.europa.eu,Tsvetelina,PENKOVA
https://www.europarl.europa.eu/meps/en/257257,hristo.petrov@europarl.europa.eu,Hristo,PETROV
https://www.europarl.europa.eu/meps/en/124850,emil.radev@europarl.europa.eu,Emil,RADEV
https://www.europarl.europa.eu/meps/en/257255,stanislav.stoyanov@europarl.europa.eu,Stanislav,STOYANOV
https://www.europarl.europa.eu/meps/en/257258,ivaylo.valchev@europarl.europa.eu,Ivaylo,VALCHEV
https://www.europarl.europa.eu/meps/en/34232,kristian.vigenin@europarl.europa.eu,Kristian,VIGENIN
https://www.europarl.europa.eu/meps/en/257260,petar.volgin@europarl.europa.eu,Petar,VOLGIN
https://www.europarl.europa.eu/meps/en/197842,elena.yoncheva@europarl.europa.eu,Elena,YONCHEVA
