URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/256852,nikola.bartusek@europarl.europa.eu,Nikola,BARTŮŠEK
https://www.europarl.europa.eu/meps/en/220840,jaroslav.bzoch@europarl.europa.eu,Jaroslav,BŽOCH
https://www.europarl.europa.eu/meps/en/197556,ivan.david@europarl.europa.eu,Ivan,DAVID
https://www.europarl.europa.eu/meps/en/256853,klara.dostalova@europarl.europa.eu,Klara,DOSTALOVA
https://www.europarl.europa.eu/meps/en/256851,ondrej.dostal@europarl.europa.eu,Ondřej,DOSTÁL
https://www.europarl.europa.eu/meps/en/256840,jan.farsky@europarl.europa.eu,Jan,FARSKÝ
https://www.europarl.europa.eu/meps/en/197549,marketa.gregorova@europarl.europa.eu,Markéta,GREGOROVÁ
https://www.europarl.europa.eu/meps/en/197528,ondrej.knotek@europarl.europa.eu,Ondřej,KNOTEK
https://www.europarl.europa.eu/meps/en/270261,jaroslav.knot@europarl.europa.eu,Jaroslav,KNOT
https://www.europarl.europa.eu/meps/en/256846,ondrej.kolar@europarl.europa.eu,Ondřej,KOLÁŘ
https://www.europarl.europa.eu/meps/en/23699,katerina.konecna@europarl.europa.eu,Kateřina,KONEČNÁ
https://www.europarl.europa.eu/meps/en/256845,ondrej.krutilek@europarl.europa.eu,Ondřej,KRUTÍLEK
https://www.europarl.europa.eu/meps/en/261038,tomas.kubin@europarl.europa.eu,Tomáš,KUBÍN
https://www.europarl.europa.eu/meps/en/256843,jana.nagyova@europarl.europa.eu,Jana,NAGYOVÁ
https://www.europarl.europa.eu/meps/en/256847,danuse.nerudova@europarl.europa.eu,Danuše,NERUDOVÁ
https://www.europarl.europa.eu/meps/en/124701,ludek.niedermayer@europarl.europa.eu,Luděk,NIEDERMAYER
https://www.europarl.europa.eu/meps/en/256844,jaroslava.pokornajermanova@europarl.europa.eu,Jaroslava,POKORNÁ JERMANOVÁ
https://www.europarl.europa.eu/meps/en/272024,antonin.stanek@europarl.europa.eu,Antonín,STANĚK
https://www.europarl.europa.eu/meps/en/197537,alexandr.vondra@europarl.europa.eu,Alexandr,VONDRA
https://www.europarl.europa.eu/meps/en/197552,veronika.vrecionova@europarl.europa.eu,Veronika,VRECIONOVÁ
https://www.europarl.europa.eu/meps/en/124713,tomas.zdechovsky@europarl.europa.eu,Tomáš,ZDECHOVSKÝ
