URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/257020,stine.bosse@europarl.europa.eu,Stine,BOSSE
https://www.europarl.europa.eu/meps/en/197558,asger.christensen@europarl.europa.eu,Asger,CHRISTENSEN
https://www.europarl.europa.eu/meps/en/257023,per.clausen@europarl.europa.eu,Per,CLAUSEN
https://www.europarl.europa.eu/meps/en/257028,henrik.dahl@europarl.europa.eu,Henrik,DAHL
https://www.europarl.europa.eu/meps/en/257038,sigrid.friis@europarl.europa.eu,Sigrid,FRIIS
https://www.europarl.europa.eu/meps/en/101585,niels.fuglsang@europarl.europa.eu,Niels,FUGLSANG
https://www.europarl.europa.eu/meps/en/257033,niels.hansen@europarl.europa.eu,Niels,Flemming HANSEN
https://www.europarl.europa.eu/meps/en/96709,morten.lokkegaard@europarl.europa.eu,Morten,LØKKEGAARD
https://www.europarl.europa.eu/meps/en/257044,rasmus.nordqvist@europarl.europa.eu,Rasmus,NORDQVIST
https://www.europarl.europa.eu/meps/en/197573,kira.peter-hansen@europarl.europa.eu,Kira,Marie PETER-HANSEN
https://www.europarl.europa.eu/meps/en/37312,christel.schaldemose@europarl.europa.eu,Christel,SCHALDEMOSE
https://www.europarl.europa.eu/meps/en/111412,villy.sovndal@europarl.europa.eu,Villy,SØVNDAL
https://www.europarl.europa.eu/meps/en/257025,kristoffer.storm@europarl.europa.eu,Kristoffer,STORM
https://www.europarl.europa.eu/meps/en/199941,marianne.vind@europarl.europa.eu,Marianne,VIND
https://www.europarl.europa.eu/meps/en/124875,anders.vistisen@europarl.europa.eu,Anders,VISTISEN
