URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/204332,barry.andrews@europarl.europa.eu,Barry,ANDREWS
https://www.europarl.europa.eu/meps/en/124984,lynn.boylan@europarl.europa.eu,Lynn,BOYLAN
https://www.europarl.europa.eu/meps/en/257296,nina.carberry@europarl.europa.eu,Nina,CARBERRY
https://www.europarl.europa.eu/meps/en/257297,barry.cowen@europarl.europa.eu,Barry,COWEN
https://www.europarl.europa.eu/meps/en/257237,regina.doherty@europarl.europa.eu,Regina,DOHERTY
https://www.europarl.europa.eu/meps/en/124985,lukeming.flanagan@europarl.europa.eu,Luke,Ming FLANAGAN
https://www.europarl.europa.eu/meps/en/257299,kathleen.funchion@europarl.europa.eu,Kathleen,FUNCHION
https://www.europarl.europa.eu/meps/en/197818,billy.kelleher@europarl.europa.eu,Billy,KELLEHER
https://www.europarl.europa.eu/meps/en/96668,sean.kelly@europarl.europa.eu,Seán,KELLY
https://www.europarl.europa.eu/meps/en/257300,michael.mcnamara@europarl.europa.eu,Michael,MCNAMARA
https://www.europarl.europa.eu/meps/en/257298,ciaran.mullooly@europarl.europa.eu,Ciaran,MULLOOLY
https://www.europarl.europa.eu/meps/en/257301,cynthia.nimhurchu@europarl.europa.eu,Cynthia,NÍ MHURCHÚ
https://www.europarl.europa.eu/meps/en/257238,aodhan.oriordain@europarl.europa.eu,Aodhán,Ó RÍORDÁIN
https://www.europarl.europa.eu/meps/en/197863,maria.walsh@europarl.europa.eu,Maria,WALSH
