URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/197490,magdalena.adamowicz@europarl.europa.eu,Magdalena,ADAMOWICZ
https://www.europarl.europa.eu/meps/en/197492,bartosz.arlukowicz@europarl.europa.eu,Bartosz,ARŁUKOWICZ
https://www.europarl.europa.eu/meps/en/197498,robert.biedron@europarl.europa.eu,Robert,BIEDROŃ
https://www.europarl.europa.eu/meps/en/23788,adam.bielan@europarl.europa.eu,Adam,BIELAN
https://www.europarl.europa.eu/meps/en/257073,tobiasz.bochenski@europarl.europa.eu,Tobiasz,BOCHEŃSKI
https://www.europarl.europa.eu/meps/en/257067,grzegorz.braun@europarl.europa.eu,Grzegorz,BRAUN
https://www.europarl.europa.eu/meps/en/251324,krzysztof.brejza@europarl.europa.eu,Krzysztof,BREJZA
https://www.europarl.europa.eu/meps/en/197501,joachim.brudzinski@europarl.europa.eu,Joachim,Stanisław BRUDZIŃSKI
https://www.europarl.europa.eu/meps/en/257064,anna.brylka@europarl.europa.eu,Anna,BRYŁKA
https://www.europarl.europa.eu/meps/en/257072,tomasz.buczek@europarl.europa.eu,Tomasz,BUCZEK
https://www.europarl.europa.eu/meps/en/99878,waldemar.buda@europarl.europa.eu,Waldemar,BUDA
https://www.europarl.europa.eu/meps/en/257047,borys.budka@europarl.europa.eu,Borys,BUDKA
https://www.europarl.europa.eu/meps/en/257051,andrzej.bula@europarl.europa.eu,Andrzej,BUŁA
https://www.europarl.europa.eu/meps/en/257076,michal.dworczyk@europarl.europa.eu,Michał,DWORCZYK
https://www.europarl.europa.eu/meps/en/257032,kamila.gasiuk-pihowicz@europarl.europa.eu,Kamila,GASIUK-PIHOWICZ
https://www.europarl.europa.eu/meps/en/257055,malgorzata.gosiewska@europarl.europa.eu,Małgorzata,GOSIEWSKA
https://www.europarl.europa.eu/meps/en/262021,hanna.gronkiewicz-waltz@europarl.europa.eu,Hanna,GRONKIEWICZ-WALTZ
https://www.europarl.europa.eu/meps/en/197514,andrzej.halicki@europarl.europa.eu,Andrzej,HALICKI
https://www.europarl.europa.eu/meps/en/124895,krzysztof.hetman@europarl.europa.eu,Krzysztof,HETMAN
https://www.europarl.europa.eu/meps/en/197516,patryktomasz.jaki@europarl.europa.eu,Patryk,JAKI
https://www.europarl.europa.eu/meps/en/197517,adam.jarubas@europarl.europa.eu,Adam,JARUBAS
https://www.europarl.europa.eu/meps/en/257031,dariusz.jonski@europarl.europa.eu,Dariusz,JOŃSKI
https://www.europarl.europa.eu/meps/en/257056,mariusz.kaminski@europarl.europa.eu,Mariusz,KAMIŃSKI
https://www.europarl.europa.eu/meps/en/257037,michal.kobosko@europarl.europa.eu,Michał,KOBOSKO
https://www.europarl.europa.eu/meps/en/197523,lukasz.kohut@europarl.europa.eu,Łukasz,KOHUT
https://www.europarl.europa.eu/meps/en/197525,ewabozena.kopacz@europarl.europa.eu,Ewa,KOPACZ
https://www.europarl.europa.eu/meps/en/23781,janusz.lewandowski@europarl.europa.eu,Janusz,LEWANDOWSKI
https://www.europarl.europa.eu/meps/en/96791,elzbieta.lukacijewska@europarl.europa.eu,Elżbieta,Katarzyna ŁUKACIJEWSKA
https://www.europarl.europa.eu/meps/en/257077,marlena.malag@europarl.europa.eu,Marlena,MALĄG
https://www.europarl.europa.eu/meps/en/257082,jagna.marczulajtis-walczak@europarl.europa.eu,Jagna,MARCZUŁAJTIS-WALCZAK
https://www.europarl.europa.eu/meps/en/257060,arkadiusz.mularczyk@europarl.europa.eu,Arkadiusz,MULARCZYK
https://www.europarl.europa.eu/meps/en/257080,piotr.muller@europarl.europa.eu,Piotr,MÜLLER
https://www.europarl.europa.eu/meps/en/257049,miroslawa.nykiel@europarl.europa.eu,Mirosława,NYKIEL
https://www.europarl.europa.eu/meps/en/257058,daniel.obajtek@europarl.europa.eu,Daniel,OBAJTEK
https://www.europarl.europa.eu/meps/en/257086,jacek.ozdoba@europarl.europa.eu,Jacek,OZDOBA
https://www.europarl.europa.eu/meps/en/257041,jacek.protas@europarl.europa.eu,Jacek,PROTAS
https://www.europarl.europa.eu/meps/en/197545,bogdan.rzonca@europarl.europa.eu,Bogdan,RZOŃCA
https://www.europarl.europa.eu/meps/en/257084,joanna.scheuring-wielgus@europarl.europa.eu,Joanna,SCHEURING-WIELGUS
https://www.europarl.europa.eu/meps/en/86057,bartlomiej.sienkiewicz@europarl.europa.eu,Bartłomiej,SIENKIEWICZ
https://www.europarl.europa.eu/meps/en/257085,krzysztof.smiszek@europarl.europa.eu,Krzysztof,ŚMISZEK
https://www.europarl.europa.eu/meps/en/257070,marcin.sypniewski@europarl.europa.eu,Marcin,SYPNIEWSKI
https://www.europarl.europa.eu/meps/en/257026,michal.szczerba@europarl.europa.eu,Michał,SZCZERBA
https://www.europarl.europa.eu/meps/en/197553,beata.szydlo@europarl.europa.eu,Beata,SZYDŁO
https://www.europarl.europa.eu/meps/en/204346,dominik.tarczynski@europarl.europa.eu,Dominik,TARCZYŃSKI
https://www.europarl.europa.eu/meps/en/257062,stanislaw.tyszka@europarl.europa.eu,Stanisław,TYSZKA
https://www.europarl.europa.eu/meps/en/257052,maciej.wasik@europarl.europa.eu,Maciej,WĄSIK
https://www.europarl.europa.eu/meps/en/257045,michal.wawrykiewicz@europarl.europa.eu,Michał,WAWRYKIEWICZ
https://www.europarl.europa.eu/meps/en/257046,marta.wcislo@europarl.europa.eu,Marta,WCISŁO
https://www.europarl.europa.eu/meps/en/124877,jadwiga.wisniewska@europarl.europa.eu,Jadwiga,WIŚNIEWSKA
https://www.europarl.europa.eu/meps/en/257069,ewa.zajaczkowska-hernik@europarl.europa.eu,Ewa,ZAJĄCZKOWSKA-HERNIK
https://www.europarl.europa.eu/meps/en/197572,anna.zalewska@europarl.europa.eu,Anna,ZALEWSKA
https://www.europarl.europa.eu/meps/en/124893,bogdan.zdrojewski@europarl.europa.eu,Bogdan,Andrzej ZDROJEWSKI
https://www.europarl.europa.eu/meps/en/124884,kosma.zlotowski@europarl.europa.eu,Kosma,ZŁOTOWSKI
