URL,MAIL,VORNAME,NACHNAME
https://www.europarl.europa.eu/meps/en/257117,adrian-george.axinia@europarl.europa.eu,Adrian-George,AXINIA
https://www.europarl.europa.eu/meps/en/257110,dan.barna@europarl.europa.eu,Dan,BARNA
https://www.europarl.europa.eu/meps/en/197658,adrian-dragos.benea@europarl.europa.eu,Dragoş,BENEA
https://www.europarl.europa.eu/meps/en/197636,ioan-rares.bogdan@europarl.europa.eu,Ioan-Rareş,BOGDAN
https://www.europarl.europa.eu/meps/en/125012,daniel.buda@europarl.europa.eu,Daniel,BUDA
https://www.europarl.europa.eu/meps/en/257100,gheorghe-florin.carciu@europarl.europa.eu,Gheorghe,CÂRCIU
https://www.europarl.europa.eu/meps/en/40224,andi.cristea@europarl.europa.eu,Andi,CRISTEA
https://www.europarl.europa.eu/meps/en/33998,vasile.dincu@europarl.europa.eu,Vasile,DÎNCU
https://www.europarl.europa.eu/meps/en/197649,gheorghe.falca@europarl.europa.eu,Gheorghe,FALCĂ
https://www.europarl.europa.eu/meps/en/257098,gabriela.firea@europarl.europa.eu,Gabriela,FIREA
https://www.europarl.europa.eu/meps/en/124785,maria.grapini@europarl.europa.eu,Maria,GRAPINI
https://www.europarl.europa.eu/meps/en/197646,mircea.hava@europarl.europa.eu,Mircea-Gheorghe,HAVA
https://www.europarl.europa.eu/meps/en/257120,diana.iovanovicisosoaca@europarl.europa.eu,Diana,IOVANOVICI ŞOŞOACĂ
https://www.europarl.europa.eu/meps/en/257118,luis.lazarus@europarl.europa.eu,Luis-Vicențiu,LAZARUS
https://www.europarl.europa.eu/meps/en/197653,iulian-claudiu.manda@europarl.europa.eu,Claudiu,MANDA
https://www.europarl.europa.eu/meps/en/197647,dan-stefan.motreanu@europarl.europa.eu,Dan-Ştefan,MOTREANU
https://www.europarl.europa.eu/meps/en/124802,siegfried.muresan@europarl.europa.eu,Siegfried,MUREŞAN
https://www.europarl.europa.eu/meps/en/257103,stefan.musoiu@europarl.europa.eu,Ştefan,MUŞOIU
https://www.europarl.europa.eu/meps/en/88882,victor.negrescu@europarl.europa.eu,Victor,NEGRESCU
https://www.europarl.europa.eu/meps/en/124784,dan.nica@europarl.europa.eu,Dan,NICA
https://www.europarl.europa.eu/meps/en/257115,gheorghe.piperea@europarl.europa.eu,Gheorghe,PIPEREA
https://www.europarl.europa.eu/meps/en/257107,virgil.popescu@europarl.europa.eu,Virgil-Daniel,POPESCU
https://www.europarl.europa.eu/meps/en/58766,nicolae.stefanuta@europarl.europa.eu,Nicolae,ȘTEFĂNUȚĂ
https://www.europarl.europa.eu/meps/en/257119,serban.dimitrie.sturdza@europarl.europa.eu,Şerban,Dimitrie STURDZA
https://www.europarl.europa.eu/meps/en/257114,claudiu-richard.tarziu@europarl.europa.eu,Claudiu-Richard,TÂRZIU
https://www.europarl.europa.eu/meps/en/257116,georgiana.teodorescu@europarl.europa.eu,Georgiana,TEODORESCU
https://www.europarl.europa.eu/meps/en/197655,cristian.terhes@europarl.europa.eu,Cristian,TERHEŞ
https://www.europarl.europa.eu/meps/en/197672,eugen.tomac@europarl.europa.eu,Eugen,TOMAC
https://www.europarl.europa.eu/meps/en/198183,mihai.tudose@europarl.europa.eu,Mihai,TUDOSE
https://www.europarl.europa.eu/meps/en/37324,adina.valean@europarl.europa.eu,Adina,VĂLEAN
https://www.europarl.europa.eu/meps/en/257112,vlad.voiculescu@europarl.europa.eu,Vlad,VASILE-VOICULESCU
https://www.europarl.europa.eu/meps/en/98582,lorant.vincze@europarl.europa.eu,Loránt,VINCZE
https://www.europarl.europa.eu/meps/en/39725,iuliu.winkler@europarl.europa.eu,Iuliu,WINKLER
